timestamp,country,carbon_intensity,renewable_pct,hour,month
2024-01-01 00:00:00,Portugal,161.6,55.9,0,1
2024-01-01 01:00:00,Portugal,134.7,64.8,1,1
2024-01-01 02:00:00,Portugal,143.1,56.9,2,1
2024-01-01 03:00:00,Portugal,151.1,68.3,3,1
2024-01-01 04:00:00,Portugal,139.9,71.7,4,1
2024-01-01 05:00:00,Portugal,154.9,57.9,5,1
2024-01-01 06:00:00,Portugal,160.0,60.6,6,1
2024-01-01 07:00:00,Portugal,142.7,68.3,7,1
2024-01-01 08:00:00,Portugal,183.0,57.5,8,1
2024-01-01 09:00:00,Portugal,181.8,48.2,9,1
2024-01-01 10:00:00,Portugal,169.3,45.4,10,1
2024-01-01 11:00:00,Portugal,177.1,39.2,11,1
2024-01-01 12:00:00,Portugal,186.5,53.8,12,1
2024-01-01 13:00:00,Portugal,176.0,44.0,13,1
2024-01-01 14:00:00,Portugal,174.2,54.1,14,1
2024-01-01 15:00:00,Portugal,155.5,53.4,15,1
2024-01-01 16:00:00,Portugal,177.1,45.5,16,1
2024-01-01 17:00:00,Portugal,166.8,47.9,17,1
2024-01-01 18:00:00,Portugal,163.5,57.5,18,1
2024-01-01 19:00:00,Portugal,135.3,56.3,19,1
2024-01-01 20:00:00,Portugal,171.1,59.6,20,1
2024-01-01 21:00:00,Portugal,147.8,51.0,21,1
2024-01-01 22:00:00,Portugal,137.7,68.2,22,1
2024-01-01 23:00:00,Portugal,166.7,60.0,23,1
2024-01-02 00:00:00,Portugal,139.4,53.5,0,1
2024-01-02 01:00:00,Portugal,122.1,64.1,1,1
2024-01-02 02:00:00,Portugal,137.5,70.4,2,1
2024-01-02 03:00:00,Portugal,116.6,79.8,3,1
2024-01-02 04:00:00,Portugal,163.4,64.5,4,1
2024-01-02 05:00:00,Portugal,149.5,57.4,5,1
2024-01-02 06:00:00,Portugal,150.5,75.3,6,1
2024-01-02 07:00:00,Portugal,178.9,61.5,7,1
2024-01-02 08:00:00,Portugal,148.9,56.5,8,1
2024-01-02 09:00:00,Portugal,181.0,49.2,9,1
2024-01-02 10:00:00,Portugal,150.9,47.2,10,1
2024-01-02 11:00:00,Portugal,170.8,59.5,11,1
2024-01-02 12:00:00,Portugal,164.6,47.8,12,1
2024-01-02 13:00:00,Portugal,198.0,45.2,13,1
2024-01-02 14:00:00,Portugal,199.9,45.0,14,1
2024-01-02 15:00:00,Portugal,169.9,57.4,15,1
2024-01-02 16:00:00,Portugal,180.8,45.9,16,1
2024-01-02 17:00:00,Portugal,162.9,54.6,17,1
2024-01-02 18:00:00,Portugal,167.3,54.5,18,1
2024-01-02 19:00:00,Portugal,145.2,56.8,19,1
2024-01-02 20:00:00,Portugal,128.1,52.9,20,1
2024-01-02 21:00:00,Portugal,122.8,64.4,21,1
2024-01-02 22:00:00,Portugal,147.6,72.3,22,1
2024-01-02 23:00:00,Portugal,169.5,64.8,23,1
2024-01-03 00:00:00,Portugal,143.4,61.3,0,1
2024-01-03 01:00:00,Portugal,134.0,60.2,1,1
2024-01-03 02:00:00,Portugal,167.2,69.1,2,1
2024-01-03 03:00:00,Portugal,148.9,66.1,3,1
2024-01-03 04:00:00,Portugal,151.3,66.1,4,1
2024-01-03 05:00:00,Portugal,158.1,65.1,5,1
2024-01-03 06:00:00,Portugal,158.3,54.4,6,1
2024-01-03 07:00:00,Portugal,161.2,65.1,7,1
2024-01-03 08:00:00,Portugal,151.6,59.4,8,1
2024-01-03 09:00:00,Portugal,180.6,55.0,9,1
2024-01-03 10:00:00,Portugal,176.1,54.3,10,1
2024-01-03 11:00:00,Portugal,194.6,56.3,11,1
2024-01-03 12:00:00,Portugal,175.3,49.6,12,1
2024-01-03 13:00:00,Portugal,154.9,43.4,13,1
2024-01-03 14:00:00,Portugal,176.0,54.8,14,1
2024-01-03 15:00:00,Portugal,195.9,45.8,15,1
2024-01-03 16:00:00,Portugal,165.1,45.1,16,1
2024-01-03 17:00:00,Portugal,153.8,41.9,17,1
2024-01-03 18:00:00,Portugal,144.7,53.0,18,1
2024-01-03 19:00:00,Portugal,141.4,49.3,19,1
2024-01-03 20:00:00,Portugal,146.2,55.0,20,1
2024-01-03 21:00:00,Portugal,130.8,63.2,21,1
2024-01-03 22:00:00,Portugal,161.8,63.2,22,1
2024-01-03 23:00:00,Portugal,137.1,71.0,23,1
2024-01-04 00:00:00,Portugal,141.4,68.4,0,1
2024-01-04 01:00:00,Portugal,159.1,65.3,1,1
2024-01-04 02:00:00,Portugal,161.9,66.1,2,1
2024-01-04 03:00:00,Portugal,143.1,64.7,3,1
2024-01-04 04:00:00,Portugal,154.2,70.4,4,1
2024-01-04 05:00:00,Portugal,164.2,65.2,5,1
2024-01-04 06:00:00,Portugal,157.5,60.6,6,1
2024-01-04 07:00:00,Portugal,142.4,65.5,7,1
2024-01-04 08:00:00,Portugal,178.4,58.6,8,1
2024-01-04 09:00:00,Portugal,185.6,52.7,9,1
2024-01-04 10:00:00,Portugal,182.6,44.2,10,1
2024-01-04 11:00:00,Portugal,167.5,53.5,11,1
2024-01-04 12:00:00,Portugal,177.5,50.7,12,1
2024-01-04 13:00:00,Portugal,171.8,48.6,13,1
2024-01-04 14:00:00,Portugal,173.5,45.5,14,1
2024-01-04 15:00:00,Portugal,190.7,43.5,15,1
2024-01-04 16:00:00,Portugal,189.6,48.0,16,1
2024-01-04 17:00:00,Portugal,173.7,52.3,17,1
2024-01-04 18:00:00,Portugal,167.0,52.3,18,1
2024-01-04 19:00:00,Portugal,163.5,54.6,19,1
2024-01-04 20:00:00,Portugal,149.8,55.3,20,1
2024-01-04 21:00:00,Portugal,144.9,62.6,21,1
2024-01-04 22:00:00,Portugal,134.1,64.4,22,1
2024-01-04 23:00:00,Portugal,140.0,60.7,23,1
2024-01-05 00:00:00,Portugal,168.9,71.1,0,1
2024-01-05 01:00:00,Portugal,151.8,72.2,1,1
2024-01-05 02:00:00,Portugal,138.3,72.7,2,1
2024-01-05 03:00:00,Portugal,139.8,66.9,3,1
2024-01-05 04:00:00,Portugal,138.9,65.5,4,1
2024-01-05 05:00:00,Portugal,159.6,58.3,5,1
2024-01-05 06:00:00,Portugal,165.0,67.4,6,1
2024-01-05 07:00:00,Portugal,146.7,48.2,7,1
2024-01-05 08:00:00,Portugal,176.2,55.7,8,1
2024-01-05 09:00:00,Portugal,166.9,53.4,9,1
2024-01-05 10:00:00,Portugal,195.6,58.0,10,1
2024-01-05 11:00:00,Portugal,181.3,50.9,11,1
2024-01-05 12:00:00,Portugal,202.0,43.7,12,1
2024-01-05 13:00:00,Portugal,173.5,40.1,13,1
2024-01-05 14:00:00,Portugal,173.6,43.8,14,1
2024-01-05 15:00:00,Portugal,178.0,49.0,15,1
2024-01-05 16:00:00,Portugal,183.5,49.7,16,1
2024-01-05 17:00:00,Portugal,172.4,49.8,17,1
2024-01-05 18:00:00,Portugal,144.2,49.0,18,1
2024-01-05 19:00:00,Portugal,157.2,54.2,19,1
2024-01-05 20:00:00,Portugal,150.3,63.8,20,1
2024-01-05 21:00:00,Portugal,140.4,54.2,21,1
2024-01-05 22:00:00,Portugal,134.4,63.2,22,1
2024-01-05 23:00:00,Portugal,163.1,74.5,23,1
2024-01-06 00:00:00,Portugal,135.0,69.9,0,1
2024-01-06 01:00:00,Portugal,129.9,65.0,1,1
2024-01-06 02:00:00,Portugal,150.8,71.8,2,1
2024-01-06 03:00:00,Portugal,147.5,63.3,3,1
2024-01-06 04:00:00,Portugal,149.0,66.7,4,1
2024-01-06 05:00:00,Portugal,164.8,74.1,5,1
2024-01-06 06:00:00,Portugal,166.3,74.0,6,1
2024-01-06 07:00:00,Portugal,169.8,50.7,7,1
2024-01-06 08:00:00,Portugal,182.3,62.1,8,1
2024-01-06 09:00:00,Portugal,177.8,66.7,9,1
2024-01-06 10:00:00,Portugal,169.4,49.8,10,1
2024-01-06 11:00:00,Portugal,174.7,52.4,11,1
2024-01-06 12:00:00,Portugal,173.3,58.1,12,1
2024-01-06 13:00:00,Portugal,182.0,45.5,13,1
2024-01-06 14:00:00,Portugal,163.5,50.6,14,1
2024-01-06 15:00:00,Portugal,150.7,48.0,15,1
2024-01-06 16:00:00,Portugal,171.1,38.2,16,1
2024-01-06 17:00:00,Portugal,148.1,52.9,17,1
2024-01-06 18:00:00,Portugal,135.0,51.9,18,1
2024-01-06 19:00:00,Portugal,159.6,60.8,19,1
2024-01-06 20:00:00,Portugal,140.9,70.1,20,1
2024-01-06 21:00:00,Portugal,152.2,64.6,21,1
2024-01-06 22:00:00,Portugal,135.9,60.9,22,1
2024-01-06 23:00:00,Portugal,126.3,67.7,23,1
2024-01-07 00:00:00,Portugal,124.1,67.8,0,1
2024-01-07 01:00:00,Portugal,134.1,73.6,1,1
2024-01-07 02:00:00,Portugal,139.2,59.7,2,1
2024-01-07 03:00:00,Portugal,135.3,60.9,3,1
2024-01-07 04:00:00,Portugal,146.4,54.8,4,1
2024-01-07 05:00:00,Portugal,135.2,68.6,5,1
2024-01-07 06:00:00,Portugal,160.2,62.9,6,1
2024-01-07 07:00:00,Portugal,142.2,56.9,7,1
2024-01-07 08:00:00,Portugal,167.5,53.8,8,1
2024-01-07 09:00:00,Portugal,183.1,52.1,9,1
2024-01-07 10:00:00,Portugal,191.3,47.6,10,1
2024-01-07 11:00:00,Portugal,201.3,49.1,11,1
2024-01-07 12:00:00,Portugal,160.1,46.5,12,1
2024-01-07 13:00:00,Portugal,189.0,56.4,13,1
2024-01-07 14:00:00,Portugal,192.8,49.9,14,1
2024-01-07 15:00:00,Portugal,186.7,43.6,15,1
2024-01-07 16:00:00,Portugal,158.1,46.0,16,1
2024-01-07 17:00:00,Portugal,170.4,57.9,17,1
2024-01-07 18:00:00,Portugal,183.8,55.6,18,1
2024-01-07 19:00:00,Portugal,135.7,57.1,19,1
2024-01-07 20:00:00,Portugal,156.1,62.2,20,1
2024-01-07 21:00:00,Portugal,160.1,69.8,21,1
2024-01-07 22:00:00,Portugal,133.8,55.9,22,1
2024-01-07 23:00:00,Portugal,148.1,60.7,23,1
2024-01-08 00:00:00,Portugal,126.3,56.6,0,1
2024-01-08 01:00:00,Portugal,130.3,70.5,1,1
2024-01-08 02:00:00,Portugal,132.2,65.8,2,1
2024-01-08 03:00:00,Portugal,148.3,63.8,3,1
2024-01-08 04:00:00,Portugal,148.8,62.2,4,1
2024-01-08 05:00:00,Portugal,167.0,69.1,5,1
2024-01-08 06:00:00,Portugal,148.0,62.2,6,1
2024-01-08 07:00:00,Portugal,163.5,57.5,7,1
2024-01-08 08:00:00,Portugal,182.3,65.3,8,1
2024-01-08 09:00:00,Portugal,181.3,49.3,9,1
2024-01-08 10:00:00,Portugal,160.4,45.7,10,1
2024-01-08 11:00:00,Portugal,187.8,66.0,11,1
2024-01-08 12:00:00,Portugal,173.9,47.2,12,1
2024-01-08 13:00:00,Portugal,184.3,45.2,13,1
2024-01-08 14:00:00,Portugal,181.2,43.8,14,1
2024-01-08 15:00:00,Portugal,189.7,47.5,15,1
2024-01-08 16:00:00,Portugal,171.5,53.9,16,1
2024-01-08 17:00:00,Portugal,141.4,55.3,17,1
2024-01-08 18:00:00,Portugal,142.5,56.2,18,1
2024-01-08 19:00:00,Portugal,164.2,53.8,19,1
2024-01-08 20:00:00,Portugal,146.7,49.4,20,1
2024-01-08 21:00:00,Portugal,160.4,62.2,21,1
2024-01-08 22:00:00,Portugal,146.2,71.8,22,1
2024-01-08 23:00:00,Portugal,131.1,71.3,23,1
2024-01-09 00:00:00,Portugal,153.9,65.7,0,1
2024-01-09 01:00:00,Portugal,130.3,72.3,1,1
2024-01-09 02:00:00,Portugal,116.4,65.8,2,1
2024-01-09 03:00:00,Portugal,172.3,67.3,3,1
2024-01-09 04:00:00,Portugal,125.5,59.5,4,1
2024-01-09 05:00:00,Portugal,163.0,63.2,5,1
2024-01-09 06:00:00,Portugal,172.0,63.8,6,1
2024-01-09 07:00:00,Portugal,167.1,59.6,7,1
2024-01-09 08:00:00,Portugal,148.5,62.5,8,1
2024-01-09 09:00:00,Portugal,187.1,66.3,9,1
2024-01-09 10:00:00,Portugal,158.9,60.7,10,1
2024-01-09 11:00:00,Portugal,162.1,49.2,11,1
2024-01-09 12:00:00,Portugal,175.4,45.1,12,1
2024-01-09 13:00:00,Portugal,189.4,44.6,13,1
2024-01-09 14:00:00,Portugal,181.2,42.3,14,1
2024-01-09 15:00:00,Portugal,184.5,48.5,15,1
2024-01-09 16:00:00,Portugal,164.3,51.8,16,1
2024-01-09 17:00:00,Portugal,163.0,52.0,17,1
2024-01-09 18:00:00,Portugal,145.4,54.1,18,1
2024-01-09 19:00:00,Portugal,150.8,56.3,19,1
2024-01-09 20:00:00,Portugal,157.6,57.2,20,1
2024-01-09 21:00:00,Portugal,142.0,56.3,21,1
2024-01-09 22:00:00,Portugal,148.8,73.0,22,1
2024-01-09 23:00:00,Portugal,133.3,71.1,23,1
2024-01-10 00:00:00,Portugal,132.4,61.4,0,1
2024-01-10 01:00:00,Portugal,141.2,62.4,1,1
2024-01-10 02:00:00,Portugal,140.2,64.6,2,1
2024-01-10 03:00:00,Portugal,153.4,67.9,3,1
2024-01-10 04:00:00,Portugal,152.3,74.0,4,1
2024-01-10 05:00:00,Portugal,177.1,71.0,5,1
2024-01-10 06:00:00,Portugal,157.2,69.2,6,1
2024-01-10 07:00:00,Portugal,162.3,66.9,7,1
2024-01-10 08:00:00,Portugal,156.7,64.4,8,1
2024-01-10 09:00:00,Portugal,174.4,59.7,9,1
2024-01-10 10:00:00,Portugal,186.1,55.6,10,1
2024-01-10 11:00:00,Portugal,169.8,50.2,11,1
2024-01-10 12:00:00,Portugal,179.4,39.2,12,1
2024-01-10 13:00:00,Portugal,188.5,47.6,13,1
2024-01-10 14:00:00,Portugal,175.7,58.5,14,1
2024-01-10 15:00:00,Portugal,167.5,45.2,15,1
2024-01-10 16:00:00,Portugal,182.5,45.7,16,1
2024-01-10 17:00:00,Portugal,166.4,56.8,17,1
2024-01-10 18:00:00,Portugal,165.1,53.5,18,1
2024-01-10 19:00:00,Portugal,169.8,52.6,19,1
2024-01-10 20:00:00,Portugal,164.7,67.0,20,1
2024-01-10 21:00:00,Portugal,141.4,64.2,21,1
2024-01-10 22:00:00,Portugal,136.0,67.4,22,1
2024-01-10 23:00:00,Portugal,144.3,61.8,23,1
2024-01-11 00:00:00,Portugal,138.3,69.5,0,1
2024-01-11 01:00:00,Portugal,116.4,69.8,1,1
2024-01-11 02:00:00,Portugal,159.0,72.5,2,1
2024-01-11 03:00:00,Portugal,146.1,74.3,3,1
2024-01-11 04:00:00,Portugal,159.4,73.2,4,1
2024-01-11 05:00:00,Portugal,139.8,66.1,5,1
2024-01-11 06:00:00,Portugal,176.5,67.0,6,1
2024-01-11 07:00:00,Portugal,157.6,53.9,7,1
2024-01-11 08:00:00,Portugal,168.6,61.7,8,1
2024-01-11 09:00:00,Portugal,156.2,59.4,9,1
2024-01-11 10:00:00,Portugal,175.2,50.7,10,1
2024-01-11 11:00:00,Portugal,176.4,46.4,11,1
2024-01-11 12:00:00,Portugal,177.6,49.0,12,1
2024-01-11 13:00:00,Portugal,184.9,41.3,13,1
2024-01-11 14:00:00,Portugal,178.1,50.0,14,1
2024-01-11 15:00:00,Portugal,186.6,50.1,15,1
2024-01-11 16:00:00,Portugal,164.0,43.8,16,1
2024-01-11 17:00:00,Portugal,152.4,51.2,17,1
2024-01-11 18:00:00,Portugal,159.8,59.2,18,1
2024-01-11 19:00:00,Portugal,162.9,61.6,19,1
2024-01-11 20:00:00,Portugal,165.9,63.9,20,1
2024-01-11 21:00:00,Portugal,156.3,59.7,21,1
2024-01-11 22:00:00,Portugal,120.1,61.0,22,1
2024-01-11 23:00:00,Portugal,145.5,62.8,23,1
